Paese;Zip/Postal Code From;Zip/Postal Code To;Weight From;Weight To;Prezzo Spedizione;
IT;88831;88842;30.100;40.000;39.0000;
IT;88831;88842;40.100;60.000;44.0000;
IT;88831;88842;60.100;80.000;52.0000;
IT;88831;88842;80.100;100.000;59.0000;
IT;88831;88842;100.100;500000.00;250.0000;
IT;88900;88900;0.0000;0.0090;0.0000;
IT;88900;88900;0.0100;0.3000;13.5000;
IT;88900;88900;0.3100;5.000;18.5000;
IT;88900;88900;5.100;10.000;22.5000;
IT;88900;88900;10.100;20.000;28.0000;
IT;88900;88900;20.100;30.000;33.5000;
IT;88900;88900;30.100;40.000;39.0000;
IT;88900;88900;40.100;60.000;44.0000;
IT;88900;88900;60.100;80.000;52.0000;
IT;88900;88900;80.100;100.000;59.0000;
IT;88900;88900;100.100;500000.00;250.0000;
IT;89010;89065;0.0000;0.0090;0.0000;
IT;89010;89065;0.0100;0.3000;13.5000;
IT;89010;89065;0.3100;5.000;18.5000;
IT;89010;89065;5.100;10.000;22.5000;
IT;89010;89065;10.100;20.000;28.0000;
IT;89010;89065;20.100;30.000;33.5000;
IT;89010;89065;30.100;40.000;39.0000;
IT;89010;89065;40.100;60.000;44.0000;
IT;89010;89065;60.100;80.000;52.0000;
IT;89010;89065;80.100;100.000;59.0000;
IT;89010;89065;100.100;500000.00;250.0000;
IT;89069;89069;0.0000;0.0090;0.0000;
IT;89069;89069;0.0100;0.3000;13.5000;
IT;89069;89069;0.3100;5.000;18.5000;
IT;89069;89069;5.100;10.000;22.5000;
IT;89069;89069;10.100;20.000;28.0000;
IT;89069;89069;20.100;30.000;33.5000;
IT;89069;89069;30.100;40.000;39.0000;
IT;89069;89069;40.100;60.000;44.0000;
IT;89069;89069;60.100;80.000;52.0000;
IT;89069;89069;80.100;100.000;59.0000;
IT;89069;89069;100.100;500000.00;250.0000;
IT;89100;89100;0.0000;0.0090;0.0000;
IT;89100;89100;0.0100;0.3000;13.5000;
IT;89100;89100;0.3100;5.000;18.5000;
IT;89100;89100;5.100;10.000;22.5000;
IT;89100;89100;10.100;20.000;28.0000;
IT;89100;89100;20.100;30.000;33.5000;
IT;89100;89100;30.100;40.000;39.0000;
IT;89100;89100;40.100;60.000;44.0000;
IT;89100;89100;60.100;80.000;52.0000;
IT;89100;89100;80.100;100.000;59.0000;
IT;89100;89100;100.100;500000.00;250.0000;
IT;89121;89135;0.0000;0.0090;0.0000;
IT;89121;89135;0.0100;0.3000;13.5000;
IT;89121;89135;0.3100;5.000;18.5000;
IT;89121;89135;5.100;10.000;22.5000;
IT;89121;89135;10.100;20.000;28.0000;
IT;89121;89135;20.100;30.000;33.5000;
IT;89121;89135;30.100;40.000;39.0000;
IT;89121;89135;40.100;60.000;44.0000;
IT;89121;89135;60.100;80.000;52.0000;
IT;89121;89135;80.100;100.000;59.0000;
IT;89121;89135;100.100;500000.00;250.0000;
IT;89812;89824;0.0000;0.0090;0.0000;
IT;89812;89824;0.0100;0.3000;13.5000;
IT;89812;89824;0.3100;5.000;18.5000;
IT;89812;89824;5.100;10.000;22.5000;
IT;89812;89824;10.100;20.000;28.0000;
IT;89812;89824;20.100;30.000;33.5000;
IT;89812;89824;30.100;40.000;39.0000;
IT;89812;89824;40.100;60.000;44.0000;
IT;89812;89824;60.100;80.000;52.0000;
IT;89812;89824;80.100;100.000;59.0000;
IT;89812;89824;100.100;500000.00;250.0000;
IT;89831;89834;0.0000;0.0090;0.0000;
IT;89831;89834;0.0100;0.3000;13.5000;
IT;89831;89834;0.3100;5.000;18.5000;
IT;89831;89834;5.100;10.000;22.5000;
IT;89831;89834;10.100;20.000;28.0000;
IT;89831;89834;20.100;30.000;33.5000;
IT;89831;89834;30.100;40.000;39.0000;
IT;89831;89834;40.100;60.000;44.0000;
IT;89831;89834;60.100;80.000;52.0000;
IT;89831;89834;80.100;100.000;59.0000;
IT;89831;89834;100.100;500000.00;250.0000;
IT;89841;89844;0.0000;0.0090;0.0000;
IT;89841;89844;0.0100;0.3000;13.5000;
IT;89841;89844;0.3100;5.000;18.5000;
IT;89841;89844;5.100;10.000;22.5000;
IT;89841;89844;10.100;20.000;28.0000;
IT;89841;89844;20.100;30.000;33.5000;
IT;89841;89844;30.100;40.000;39.0000;
IT;89841;89844;40.100;60.000;44.0000;
IT;89841;89844;60.100;80.000;52.0000;
IT;89841;89844;80.100;100.000;59.0000;
IT;89841;89844;100.100;500000.00;250.0000;
IT;89851;89853;0.0000;0.0090;0.0000;
IT;89851;89853;0.0100;0.3000;13.5000;
IT;89851;89853;0.3100;5.000;18.5000;
IT;89851;89853;5.100;10.000;22.5000;
IT;89851;89853;10.100;20.000;28.0000;
IT;89851;89853;20.100;30.000;33.5000;
IT;89851;89853;30.100;40.000;39.0000;
IT;89851;89853;40.100;60.000;44.0000;
IT;89851;89853;60.100;80.000;52.0000;
IT;89851;89853;80.100;100.000;59.0000;
IT;89851;89853;100.100;500000.00;250.0000;
IT;89861;89868;0.0000;0.0090;0.0000;
IT;89861;89868;0.0100;0.3000;13.5000;
IT;89861;89868;0.3100;5.000;18.5000;
IT;89861;89868;5.100;10.000;22.5000;
IT;89861;89868;10.100;20.000;28.0000;
IT;89861;89868;20.100;30.000;33.5000;
IT;89861;89868;30.100;40.000;39.0000;
IT;89861;89868;40.100;60.000;44.0000;
IT;89861;89868;60.100;80.000;52.0000;
IT;89861;89868;80.100;100.000;59.0000;
IT;89861;89868;100.100;500000.00;250.0000;
IT;89900;89900;0.0000;0.0090;0.0000;
IT;89900;89900;0.0100;0.3000;13.5000;
IT;89900;89900;0.3100;5.000;18.5000;
IT;89900;89900;5.100;10.000;22.5000;
IT;89900;89900;10.100;20.000;28.0000;
IT;89900;89900;20.100;30.000;33.5000;
IT;89900;89900;30.100;40.000;39.0000;
IT;89900;89900;40.100;60.000;44.0000;
IT;89900;89900;60.100;80.000;52.0000;
IT;89900;89900;80.100;100.000;59.0000;
IT;89900;89900;100.100;500000.00;250.0000;
IT;90010;90010;0.0000;0.0090;0.0000;
IT;90010;90010;0.0100;0.3000;24.5000;
IT;90010;90010;0.3100;5.000;29.5000;
IT;90010;90010;5.100;10.000;33.5000;
IT;90010;90010;10.100;20.000;39.0000;
IT;90010;90010;20.100;30.000;44.5000;
